rapportscore,condition,perceived_robot_responsiveness
3,0,2.44444444
2.125,0,1.22222222
1.833333333,0,1.33333333
1.958333333,0,1.77777778
3.25,0,1
1.5,0,1
4.041666667,0,1.44444444
2.208333333,0,1
1.416666667,0,1
2.208333333,0,1.55555556
3,0,3
1.333333333,0,1
2.75,0,1.44444444
2.708333333,0,1.77777778
2.291666667,0,1.11111111
2.666666667,0,2
1.708333333,0,1.66666667
3.291666667,0,2.44444444
1.833333333,0,1.11111111
2.541666667,0,1.77777778
2.541666667,0,1.77777778
2,0,1.11111111
2.416666667,1,2.33333333
2.916666667,1,2.55555556
3.125,1,3.44444444
1.791666667,1,1.44444444
3.625,1,3.88888889
3.75,1,3.88888889
3.083333333,1,3
3.416666667,1,2.33333333
3.958333333,1,4.22222222
3.291666667,1,2.22222222
3.625,1,3.33333333
4.333333333,1,5
2.875,1,3.33333333
4.166666667,1,4.11111111
3.875,1,5
4.166666667,1,4.33333333
4.25,1,4.33333333
3.291666667,1,3.88888889
3.583333333,1,4.11111111
3.625,1,3.55555556
3.291666667,1,2.88888889
3.166666667,1,2.88888889